System,Sieve,Loop,Logic,String,Float,Method,Overall
None,186244,403558,657279,372357,317224,77931,277307
None,186056,405507,657740,373486,317561,77752,277599
None,186638,406280,663244,367125,317941,77991,277619
None,186629,404812,657532,367812,317740,77229,276654
None,186048,401425,611990,369243,321656,80168,275283
None,186252,403780,660107,366023,318065,77762,276763
None,186598,405197,661953,361372,317221,77923,276522
None,186279,404217,657893,363538,317760,77879,276376
None,186533,403487,658177,360678,318163,77894,276079
None,186542,403331,653580,349568,318184,77894,274310
None,185957,405598,656779,362210,317405,77946,276195
None,185917,401739,612215,352555,321119,80085,273066
None,186688,403320,658445,365174,317872,77969,276689
None,185696,403605,657446,364528,318195,77961,276367
None,185879,403137,656119,363424,317571,77807,275945
None,185844,402583,611505,365278,320386,80246,274697
None,186128,403367,656461,363759,317462,77781,276068
None,185847,404342,653519,361315,317451,77860,275638
None,186093,402450,611976,369946,320715,80100,275324
None,186584,402263,612019,366889,320404,80115,275010
Tracer,185915,405780,651974,204785,317488,77863,250821
Tracer,186650,405796,661797,202594,317040,77924,251137
Tracer,186738,403871,651234,190194,317236,77644,247542
Tracer,186717,396697,663669,199676,317752,80140,250982
Tracer,185979,403536,655880,245609,317737,77939,258646
Tracer,185876,404138,651199,198760,317481,77680,249251
Tracer,185999,402076,660767,209173,316798,77840,251802
Tracer,186237,405948,663255,199171,317374,77502,250257
Tracer,185930,405911,662380,194955,317289,79732,250409
Tracer,186098,403339,652278,197623,318014,77572,249060
Tracer,186331,402999,651669,207393,317861,77693,251095
Tracer,185981,404580,663335,195657,317150,77517,249302
Tracer,186451,406639,651716,239222,316426,80234,258748
Tracer,186188,402388,661403,211038,317400,79783,253409
Tracer,186033,405507,662709,194166,317467,77884,249290
Tracer,186108,395129,652023,208876,317330,77894,250579
Tracer,185894,402787,651398,210651,317207,77501,251420
Tracer,186002,403151,650870,208211,317827,77863,251237
Tracer,186004,405156,651602,204189,317516,77674,250534
Tracer,186664,400318,651730,204420,317204,80167,251515
