system,environment,tainted registers,time
None,native,0,989
None,native,0,886
None,native,0,938
None,native,0,1146
None,native,0,938
None,native,0,937
None,native,0,990
None,native,0,937
None,native,0,885
None,native,0,886
None,native,0,886
None,native,1,937
None,native,1,625
None,native,1,1145
None,native,1,937
None,native,1,937
None,native,1,1146
None,native,1,989
None,native,1,938
None,native,1,1250
None,native,1,938
None,native,1,989
None,native,2,1094
None,native,2,1146
None,native,2,1042
None,native,2,885
None,native,2,1041
None,native,2,1979
None,native,2,833
None,native,2,1094
None,native,2,938
None,native,2,937
None,native,2,937
None,native,3,938
None,native,3,937
None,native,3,1094
None,native,3,1042
None,native,3,938
None,native,3,937
None,native,3,1094
None,native,3,1354
None,native,3,1250
None,native,3,1459
None,native,3,1197
None,native,4,729
None,native,4,3542
None,native,4,989
None,native,4,1094
None,native,4,1771
None,native,4,886
None,native,4,1146
None,native,4,1406
None,native,4,1250
None,native,4,1094
None,native,4,885
None,native,5,1459
None,native,5,937
None,native,5,1198
None,native,5,989
None,native,5,1198
None,native,5,989
None,native,5,990
None,native,5,1198
None,native,5,1198
None,native,5,1250
None,native,5,1146
None,native,6,990
None,native,6,1198
None,native,6,1146
None,native,6,1354
None,native,6,989
None,native,6,1302
None,native,6,1094
None,native,6,937
None,native,6,1041
None,native,6,989
None,native,6,938
None,native,7,1198
None,native,7,1510
None,native,7,1667
None,native,7,1042
None,native,7,885
None,native,7,1042
None,native,7,1042
None,native,7,886
None,native,7,1197
None,native,7,1302
None,native,7,885
None,native,8,938
None,native,8,1250
None,native,8,1303
None,native,8,1459
None,native,8,781
None,native,8,937
None,native,8,1146
None,native,8,1094
None,native,8,886
None,native,8,1302
None,native,8,886
None,native,9,1146
None,native,9,990
None,native,9,1197
None,native,9,990
None,native,9,1041
None,native,9,937
None,native,9,938
None,native,9,1041
None,native,9,885
None,native,9,1094
None,native,9,1042
None,native,10,1041
None,native,10,937
None,native,10,938
None,native,10,1094
None,native,10,1302
None,native,10,1198
None,native,10,1145
None,native,10,1042
None,native,10,1145
None,native,10,1302
None,native,10,938
TaintTracer,native,0,781
TaintTracer,native,0,937
TaintTracer,native,0,885
TaintTracer,native,0,729
TaintTracer,native,0,938
TaintTracer,native,0,886
TaintTracer,native,0,990
TaintTracer,native,0,1302
TaintTracer,native,0,781
TaintTracer,native,0,782
TaintTracer,native,0,885
TaintTracer,native,1,84933029
TaintTracer,native,1,93758291
TaintTracer,native,1,92636155
TaintTracer,native,1,79567300
TaintTracer,native,1,84247769
TaintTracer,native,1,91183760
TaintTracer,native,1,80505738
TaintTracer,native,1,91089020
TaintTracer,native,1,80575164
TaintTracer,native,1,86865842
TaintTracer,native,1,84844436
TaintTracer,native,2,97407874
TaintTracer,native,2,108606365
TaintTracer,native,2,105992250
TaintTracer,native,2,91274957
TaintTracer,native,2,91779280
TaintTracer,native,2,97590114
TaintTracer,native,2,101679698
TaintTracer,native,2,102635010
TaintTracer,native,2,103324229
TaintTracer,native,2,94324124
TaintTracer,native,2,97983551
TaintTracer,native,3,112301678
TaintTracer,native,3,106543761
TaintTracer,native,3,110503293
TaintTracer,native,3,103911677
TaintTracer,native,3,102511104
TaintTracer,native,3,104885323
TaintTracer,native,3,107849907
TaintTracer,native,3,102448187
TaintTracer,native,3,104721573
TaintTracer,native,3,109716365
TaintTracer,native,3,111265063
TaintTracer,native,4,118667355
TaintTracer,native,4,119934751
TaintTracer,native,4,116299387
TaintTracer,native,4,108586938
TaintTracer,native,4,115949074
TaintTracer,native,4,116938189
TaintTracer,native,4,120583918
TaintTracer,native,4,122358606
TaintTracer,native,4,117989803
TaintTracer,native,4,106238553
TaintTracer,native,4,114339907
TaintTracer,native,5,131511784
TaintTracer,native,5,125461940
TaintTracer,native,5,126965585
TaintTracer,native,5,115563397
TaintTracer,native,5,131950274
TaintTracer,native,5,128568451
TaintTracer,native,5,129780013
TaintTracer,native,5,106721209
TaintTracer,native,5,130786055
TaintTracer,native,5,133055690
TaintTracer,native,5,121930429
TaintTracer,native,6,138327305
TaintTracer,native,6,140857722
TaintTracer,native,6,134890587
TaintTracer,native,6,147457411
TaintTracer,native,6,135733764
TaintTracer,native,6,138360014
TaintTracer,native,6,147471994
TaintTracer,native,6,142149338
TaintTracer,native,6,144710848
TaintTracer,native,6,140471889
TaintTracer,native,6,133669596
TaintTracer,native,7,150811734
TaintTracer,native,7,146617567
TaintTracer,native,7,144579337
TaintTracer,native,7,152448192
TaintTracer,native,7,158613037
TaintTracer,native,7,152345276
TaintTracer,native,7,141639545
TaintTracer,native,7,145847827
TaintTracer,native,7,145785900
TaintTracer,native,7,150513973
TaintTracer,native,7,147872202
TaintTracer,native,8,161589599
TaintTracer,native,8,173969913
TaintTracer,native,8,159663297
TaintTracer,native,8,159103714
TaintTracer,native,8,162563245
TaintTracer,native,8,166439964
TaintTracer,native,8,165720381
TaintTracer,native,8,158566890
TaintTracer,native,8,160166214
TaintTracer,native,8,150798297
TaintTracer,native,8,158575016
TaintTracer,native,9,159879391
TaintTracer,native,9,164487881
TaintTracer,native,9,162663558
TaintTracer,native,9,168496319
TaintTracer,native,9,177575435
TaintTracer,native,9,156227151
TaintTracer,native,9,157056370
TaintTracer,native,9,168337152
TaintTracer,native,9,175287934
TaintTracer,native,9,172333194
TaintTracer,native,9,160527360
TaintTracer,native,10,178202570
TaintTracer,native,10,174360902
TaintTracer,native,10,182575851
TaintTracer,native,10,177849080
TaintTracer,native,10,171913923
TaintTracer,native,10,172605538
TaintTracer,native,10,171271684
TaintTracer,native,10,187545696
TaintTracer,native,10,182987049
TaintTracer,native,10,189714654
TaintTracer,native,10,182931581
None,java,0,4270
None,java,0,4844
None,java,0,10365
None,java,0,4167
None,java,0,3385
None,java,0,5937
None,java,0,4948
None,java,0,5052
None,java,0,4375
None,java,0,9167
None,java,0,3438
None,java,1,4010
None,java,1,4636
None,java,1,4011
None,java,1,3750
None,java,1,4427
None,java,1,11354
None,java,1,3282
None,java,1,3698
None,java,1,4791
None,java,1,5156
None,java,1,3802
None,java,2,3646
None,java,2,4010
None,java,2,4948
None,java,2,7864
None,java,2,3438
None,java,2,3125
None,java,2,4636
None,java,2,6302
None,java,2,3334
None,java,2,4531
None,java,2,4115
None,java,3,3282
None,java,3,4270
None,java,3,3229
None,java,3,3958
None,java,3,3645
None,java,3,3854
None,java,3,3490
None,java,3,6406
None,java,3,3386
None,java,3,3802
None,java,3,4896
None,java,4,6093
None,java,4,5677
None,java,4,5364
None,java,4,35573
None,java,4,8698
None,java,4,7500
None,java,4,7761
None,java,4,12552
None,java,4,8021
None,java,4,27240
None,java,4,7709
None,java,5,4844
None,java,5,5417
None,java,5,6354
None,java,5,5677
None,java,5,5573
None,java,5,17865
None,java,5,6615
None,java,5,33750
None,java,5,5885
None,java,5,6406
None,java,5,6146
None,java,6,5729
None,java,6,8229
None,java,6,6094
None,java,6,7656
None,java,6,6823
None,java,6,5469
None,java,6,7969
None,java,6,7187
None,java,6,5833
None,java,6,5052
None,java,6,6146
None,java,7,6667
None,java,7,5938
None,java,7,31510
None,java,7,9167
None,java,7,10625
None,java,7,6354
None,java,7,7292
None,java,7,6354
None,java,7,9584
None,java,7,7136
None,java,7,8854
None,java,8,14531
None,java,8,8646
None,java,8,8907
None,java,8,22760
None,java,8,7500
None,java,8,4688
None,java,8,8437
None,java,8,5730
None,java,8,5469
None,java,8,5834
None,java,8,4687
None,java,9,4948
None,java,9,5781
None,java,9,5729
None,java,9,8177
None,java,9,9635
None,java,9,8906
None,java,9,5469
None,java,9,6458
None,java,9,5417
None,java,9,11146
None,java,9,17761
None,java,10,21458
None,java,10,18854
None,java,10,7344
None,java,10,6458
None,java,10,5208
None,java,10,5521
None,java,10,5677
None,java,10,5989
None,java,10,6823
None,java,10,5468
None,java,10,8386
TaintTracer,java,0,5833
TaintTracer,java,0,5573
TaintTracer,java,0,10313
TaintTracer,java,0,6042
TaintTracer,java,0,9114
TaintTracer,java,0,6719
TaintTracer,java,0,8490
TaintTracer,java,0,5886
TaintTracer,java,0,5157
TaintTracer,java,0,7604
TaintTracer,java,0,5573
TaintTracer,java,1,148248869
TaintTracer,java,1,159548089
TaintTracer,java,1,145633921
TaintTracer,java,1,155508453
TaintTracer,java,1,146361525
TaintTracer,java,1,151526942
TaintTracer,java,1,149734078
TaintTracer,java,1,146064962
TaintTracer,java,1,144795171
TaintTracer,java,1,151992307
TaintTracer,java,1,144446317
TaintTracer,java,2,181873716
TaintTracer,java,2,183836894
TaintTracer,java,2,191591946
TaintTracer,java,2,177729444
TaintTracer,java,2,175466059
TaintTracer,java,2,189191373
TaintTracer,java,2,183667571
TaintTracer,java,2,176659810
TaintTracer,java,2,178470799
TaintTracer,java,2,181372310
TaintTracer,java,2,174247257
TaintTracer,java,3,205137625
TaintTracer,java,3,195496114
TaintTracer,java,3,187599758
TaintTracer,java,3,173169601
TaintTracer,java,3,187821842
TaintTracer,java,3,193364602
TaintTracer,java,3,193407571
TaintTracer,java,3,190406529
TaintTracer,java,3,188684446
TaintTracer,java,3,178940955
TaintTracer,java,3,189042936
TaintTracer,java,4,186424393
TaintTracer,java,4,204131947
TaintTracer,java,4,196049968
TaintTracer,java,4,194899759
TaintTracer,java,4,210719656
TaintTracer,java,4,197867780
TaintTracer,java,4,204493093
TaintTracer,java,4,226165856
TaintTracer,java,4,208939604
TaintTracer,java,4,209326219
TaintTracer,java,4,206725854
TaintTracer,java,5,222937678
TaintTracer,java,5,222882209
TaintTracer,java,5,233897993
TaintTracer,java,5,225670596
TaintTracer,java,5,221899866
TaintTracer,java,5,224067991
TaintTracer,java,5,224653512
TaintTracer,java,5,218137887
TaintTracer,java,5,229625857
TaintTracer,java,5,219947105
TaintTracer,java,5,227958095
TaintTracer,java,6,236743513
TaintTracer,java,6,232710179
TaintTracer,java,6,241221274
TaintTracer,java,6,231124710
TaintTracer,java,6,233543304
TaintTracer,java,6,230934607
TaintTracer,java,6,235271169
TaintTracer,java,6,239376690
TaintTracer,java,6,242243149
TaintTracer,java,6,240177472
TaintTracer,java,6,234608409
TaintTracer,java,7,261431588
TaintTracer,java,7,237686794
TaintTracer,java,7,227492054
TaintTracer,java,7,251109921
TaintTracer,java,7,247082264
TaintTracer,java,7,243103201
TaintTracer,java,7,253186536
TaintTracer,java,7,244071691
TaintTracer,java,7,244456066
TaintTracer,java,7,248265858
TaintTracer,java,7,247471170
TaintTracer,java,8,262338932
TaintTracer,java,8,260571068
TaintTracer,java,8,259166901
TaintTracer,java,8,267100391
TaintTracer,java,8,247352212
TaintTracer,java,8,269704558
TaintTracer,java,8,266782266
TaintTracer,java,8,272123621
TaintTracer,java,8,253911327
TaintTracer,java,8,255367421
TaintTracer,java,8,270155496
TaintTracer,java,9,281486018
TaintTracer,java,9,286392321
TaintTracer,java,9,273379506
TaintTracer,java,9,280949455
TaintTracer,java,9,268361225
TaintTracer,java,9,274276746
TaintTracer,java,9,275511590
TaintTracer,java,9,283105393
TaintTracer,java,9,287488935
TaintTracer,java,9,261777370
TaintTracer,java,9,278883205
TaintTracer,java,10,292300914
TaintTracer,java,10,274696277
TaintTracer,java,10,290705133
TaintTracer,java,10,299071175
TaintTracer,java,10,301180967
TaintTracer,java,10,296655499
TaintTracer,java,10,283391383
TaintTracer,java,10,300322009
TaintTracer,java,10,298923728
TaintTracer,java,10,298068571
TaintTracer,java,10,303210394
